Source,Target,Type,Id,Label,Weight
Dr George Leeson (Oxford Institute of Population Ageing),Stephanie Bevan (Herts Careline),Undirected,800,,1
Dr George Leeson (Oxford Institute of Population Ageing),Suzy Prior,Undirected,801,,1
Dr Jenny Balfour-Paul,Dr Laura Fan,Undirected,802,,1
Dr Jenny Balfour-Paul,Faye Belsey,Undirected,803,,1
Dr Jenny Balfour-Paul,Gillian Vogelsang-Eastwood,Undirected,804,,1
Dr Jenny Balfour-Paul,Iraqi Women Art and War,Undirected,805,,1
Dr Jenny Balfour-Paul,Jenny Balfour-Paul ,Undirected,806,,1
Dr Jenny Balfour-Paul,Margaret Mary Vale,Undirected,807,,1
Dr Jenny Balfour-Paul,Nicola Bird,Undirected,808,,1
Dr Jenny Balfour-Paul,Nuha Abdo,Undirected,809,,1
Dr Jenny Balfour-Paul,PR,Undirected,810,,1
Dr Jenny Balfour-Paul,Reem Alalaf ,Undirected,811,,1
Dr Jenny Balfour-Paul,Refugee Resource,Undirected,812,,1
Dr Jenny Balfour-Paul,Sheila Paine,Undirected,813,,1
Dr Jenny Balfour-Paul,Shelagh Weir,Undirected,814,,1
Dr Jenny Balfour-Paul,Syrian Sisters,Undirected,815,,1
Dr Jenny Balfour-Paul,Widad Kawar,Undirected,816,,1
Dr Jenny Balfour-Paul,the History of Science Museum,Undirected,817,,1
Dr Laura Fan,Faye Belsey,Undirected,818,,1
Dr Laura Fan,Gillian Vogelsang-Eastwood,Undirected,819,,1
Dr Laura Fan,Iraqi Women Art and War,Undirected,820,,1
Dr Laura Fan,Jenny Balfour-Paul ,Undirected,821,,1
Dr Laura Fan,Margaret Mary Vale,Undirected,822,,1
Dr Laura Fan,Nicola Bird,Undirected,823,,1
Dr Laura Fan,Nuha Abdo,Undirected,824,,1
Dr Laura Fan,PR,Undirected,825,,1
Dr Laura Fan,Reem Alalaf ,Undirected,826,,1
Dr Laura Fan,Refugee Resource,Undirected,827,,1
Dr Laura Fan,Sheila Paine,Undirected,828,,1
Dr Laura Fan,Shelagh Weir,Undirected,829,,1
Dr Laura Fan,Syrian Sisters,Undirected,830,,1
Dr Laura Fan,Widad Kawar,Undirected,831,,1
Dr Laura Fan,the History of Science Museum,Undirected,832,,1
Elizabeth Porter,Hadiqa Khan,Undirected,833,,1
Elizabeth Porter,Jeremy Coote,Undirected,834,,1
Elizabeth Porter,PR,Undirected,835,,1
EllasCrean,MDA,Undirected,836,,1
EllasCrean,MUNA,Undirected,837,,1
EllasCrean,Museo Nacional del Ecuador,Undirected,838,,1
Embajada de la República Argentina,MRS,Undirected,839,,1
Embajada de la República Argentina,Museo Universitario Arte Contemporáneo de la Universidad Nacional Autónoma de México (MUAC),Undirected,840,,1
Embajada de la República Argentina,Museo de Reina Sofia,Undirected,841,,1
Emmanuel College,MAA,Undirected,842,,1
Emmanuel College,Mongolia and Inner Asia Research Unit,Undirected,843,,1
Emmanuel College,Pembroke College,Undirected,844,,1
Emmanuel College,UK Research and Innovation,Undirected,845,,1
Emmanuel College,University of Cambridge,Undirected,846,,1
Emmanuel College,the Fitzwilliam Museum,Undirected,847,,1
Emmanuel College,the Frederick Williamson Memorial Fund,Undirected,848,,1
Emmanuel College,the Museum of Archaeology and Anthropology,Undirected,849,,1
Emmanuel College,the Sedgwick Museum of Earth Sciences,Undirected,850,,1
Emmanuel College,the University Library,Undirected,851,,1
Esmée Fairbairn Collections Fund,Iraqi Women Art and War,Undirected,852,,1
Esmée Fairbairn Collections Fund,Jenny Balfour-Paul,Undirected,853,,1
Esmée Fairbairn Collections Fund,MAA,Undirected,854,,1
Esmée Fairbairn Collections Fund,McDonald Institute for Archaeological,Undirected,855,,1
Esmée Fairbairn Collections Fund,PR,Undirected,856,,1
Esmée Fairbairn Collections Fund,Refugee Resource,Undirected,857,,1
Esmée Fairbairn Collections Fund,Research Arts council England,Undirected,858,,1
Esmée Fairbairn Collections Fund,Syrian Sisters,Undirected,859,,1
Esmée Fairbairn Collections Fund,UK Research and Innovation,Undirected,860,,1
Esmée Fairbairn Collections Fund,the History of Science Museum,Undirected,861,,1
European Research Council project Pacific Presences,European Union’s Seventh Framework Programme,Undirected,862,,1
European Research Council project Pacific Presences,MAA,Undirected,863,,1
